user_id,product_id,purchase_date,rating
U0378,P0207,2025-04-03,4
U0249,P0119,2024-04-20,4
U0199,P0108,2024-11-12,5
U0104,P0053,2024-05-05,3
U0239,P0159,2025-04-10,5
U0405,P0157,2024-10-18,5
U0045,P0167,2025-04-19,4
U0237,P0221,2024-04-11,4
U0114,P0152,2024-10-01,4
U0023,P0125,2024-07-17,4
U0415,P0211,2024-08-16,4
U0286,P0178,2025-04-05,4
U0123,P0024,2024-08-22,4
U0361,P0012,2024-08-15,5
U0448,P0048,2025-11-15,5
U0001,P0019,2025-12-11,5
U0152,P0153,2024-11-03,5
U0172,P0015,2025-01-04,4
U0239,P0094,2025-03-21,5
U0035,P0041,2024-06-08,5
U0333,P0094,2024-12-25,4
U0181,P0129,2025-05-02,3
U0177,P0212,2024-08-23,5
U0423,P0061,2025-10-12,5
U0485,P0017,2024-08-03,3
U0460,P0152,2024-03-09,3
U0076,P0073,2024-05-14,5
U0278,P0122,2025-07-15,5
U0011,P0203,2024-04-27,5
U0331,P0094,2025-11-21,5
U0249,P0198,2025-08-10,5
U0460,P0044,2025-04-16,4
U0148,P0013,2024-06-10,4
U0086,P0042,2025-03-06,5
U0355,P0204,2024-03-08,3
U0163,P0161,2025-06-06,4
U0363,P0195,2025-03-12,4
U0500,P0059,2024-01-13,5
U0394,P0138,2025-03-01,5
U0280,P0085,2025-08-10,5
U0387,P0147,2024-10-24,5
U0227,P0025,2025-01-05,5
U0060,P0181,2024-08-12,3
U0029,P0050,2024-05-07,2
U0276,P0174,2024-09-13,4
U0163,P0131,2024-11-12,4
U0367,P0095,2025-06-01,4
U0180,P0161,2024-04-24,5
U0380,P0206,2025-05-06,5
U0497,P0187,2025-03-27,5
U0045,P0023,2025-09-11,3
U0492,P0026,2024-01-14,5
U0140,P0157,2025-12-19,5
U0071,P0178,2025-09-16,2
U0424,P0114,2025-08-18,5
U0115,P0053,2024-05-10,5
U0428,P0032,2025-07-06,4
U0353,P0008,2024-05-16,5
U0035,P0005,2025-10-14,5
U0322,P0178,2024-06-17,5
U0009,P0042,2024-03-11,4
U0355,P0054,2024-05-12,4
U0467,P0013,2025-05-17,5
U0040,P0041,2024-10-25,4
U0166,P0212,2025-05-22,5
U0186,P0002,2025-03-01,3
U0145,P0047,2025-06-06,3
U0080,P0073,2024-07-15,5
U0060,P0005,2025-06-10,5
U0072,P0153,2025-03-23,4
U0382,P0057,2024-12-05,5
U0158,P0010,2024-07-23,5
U0058,P0181,2025-01-07,3
U0407,P0152,2024-08-04,5
U0023,P0200,2024-02-20,4
U0462,P0084,2024-02-05,5
U0483,P0061,2025-06-06,5
U0400,P0062,2024-02-27,5
U0008,P0217,2025-03-25,5
U0499,P0055,2025-06-23,5
U0226,P0028,2024-06-13,4
U0264,P0161,2025-02-15,3
U0070,P0107,2025-09-24,2
U0168,P0161,2025-08-20,5
U0352,P0114,2024-09-14,4
U0438,P0030,2025-11-12,4
U0346,P0073,2025-08-17,5
U0044,P0181,2025-12-19,5
U0380,P0044,2024-06-07,4
U0305,P0104,2024-04-27,4
U0256,P0198,2025-11-13,4
U0342,P0104,2025-09-09,3
U0233,P0093,2025-08-08,5
U0069,P0152,2024-08-22,2
U0092,P0122,2024-05-20,5
U0390,P0046,2025-08-07,4
U0255,P0057,2025-09-18,1
U0392,P0138,2024-07-15,4
U0193,P0201,2024-03-18,5
U0400,P0190,2025-07-05,4
U0200,P0201,2025-11-18,5
U0293,P0176,2024-09-02,4
U0254,P0119,2025-05-11,3
U0303,P0128,2025-12-19,2
U0457,P0098,2024-07-12,5
U0211,P0061,2024-04-21,4
U0044,P0017,2025-02-11,4
U0276,P0071,2025-10-17,5
U0137,P0045,2024-06-13,5
U0166,P0161,2024-12-22,4
U0086,P0094,2025-04-16,5
U0499,P0216,2024-05-09,2
U0294,P0029,2024-12-28,5
U0304,P0217,2025-07-07,4
U0040,P0078,2025-07-22,5
U0103,P0164,2025-11-25,5
U0452,P0051,2024-10-16,4
U0493,P0120,2025-11-18,5
U0437,P0112,2024-09-07,4
U0076,P0107,2025-07-11,5
U0467,P0174,2025-05-27,4
U0083,P0033,2024-07-08,3
U0099,P0122,2025-08-18,5
U0217,P0010,2024-03-09,3
U0133,P0072,2024-11-28,2
U0370,P0158,2024-02-11,5
U0444,P0108,2025-11-22,5
U0204,P0186,2024-04-04,5
U0257,P0134,2025-08-03,4
U0063,P0081,2025-10-24,4
U0384,P0109,2024-03-04,4
U0497,P0026,2025-10-02,4
U0192,P0029,2025-09-14,4
U0127,P0201,2024-06-16,5
U0421,P0114,2024-12-22,5
U0028,P0202,2024-05-18,4
U0328,P0093,2024-09-28,4
U0227,P0221,2025-05-03,5
U0388,P0190,2024-08-21,4
U0416,P0105,2024-05-28,3
U0400,P0121,2025-06-23,4
U0471,P0212,2024-12-09,5
U0181,P0002,2025-08-23,2
U0027,P0048,2025-11-05,1
U0103,P0081,2024-02-06,4
U0366,P0213,2024-10-22,4
U0481,P0026,2024-05-06,5
U0424,P0061,2024-02-14,4
U0202,P0214,2024-01-01,5
U0332,P0059,2024-08-07,4
U0437,P0185,2025-10-09,3
U0491,P0061,2024-01-23,5
U0396,P0117,2025-02-08,5
U0098,P0209,2025-05-24,4
U0067,P0073,2024-05-24,5
U0215,P0061,2024-05-09,4
U0231,P0095,2025-02-01,4
U0447,P0108,2024-12-13,5
U0377,P0158,2024-09-02,3
U0477,P0084,2024-01-09,5
U0196,P0108,2025-03-18,2
U0092,P0033,2025-06-15,3
U0163,P0111,2024-05-04,4
U0066,P0107,2025-07-10,5
U0135,P0195,2025-09-11,4
U0085,P0178,2024-09-28,5
U0326,P0014,2024-03-02,4
U0019,P0217,2025-07-04,5
U0475,P0059,2025-12-18,4
U0253,P0130,2024-06-03,4
U0146,P0010,2025-10-22,5
U0299,P0002,2024-07-03,4
U0256,P0085,2024-05-22,5
U0063,P0207,2024-06-05,2
U0236,P0169,2025-08-21,5
U0305,P0085,2024-11-20,5
U0167,P0188,2024-04-28,2
U0330,P0172,2024-09-20,4
U0205,P0061,2025-02-01,5
U0084,P0178,2025-11-25,5
U0079,P0178,2025-12-26,5
U0463,P0034,2025-11-04,5
U0263,P0071,2025-08-09,5
U0217,P0031,2025-10-06,4
U0219,P0136,2025-08-22,4
U0352,P0127,2024-05-15,4
U0465,P0077,2024-03-22,5
U0431,P0185,2025-10-02,5
U0470,P0192,2025-07-04,4
U0369,P0195,2025-05-19,3
