variant_id,label
V00001,128 GB
V00002,Tím
V00003,Đỏ
V00004,256 GB
V00005,512 GB
V00006,1 TB
V00007,Xanh dương
V00008,Đen
V00009,Bạc
V00010,Xám
V00011,1 TB
V00012,Tím
V00013,Xanh
V00014,Đen
V00015,Trắng
V00016,Đen
V00017,Đỏ
V00018,Xanh dương
V00019,128 GB
V00020,Xám
V00021,Xanh
V00022,Đen
V00023,256 GB
V00024,Đen
V00025,Xám
V00026,Xanh
V00027,512 GB
V00028,Cam
V00029,Nâu
V00030,128 MB
V00031,Đen
V00032,Xanh
V00033,128 GB
V00034,Bạc
V00035,Đen
V00036,Tím
V00037,Vàng
V00038,Xanh
V00039,512 GB
V00040,Đen
V00041,Vàng
V00042,128 GB
V00043,Đen
V00044,Xám
V00045,Vàng
V00046,64 GB
V00047,128 GB
V00048,Xanh
V00049,Tím
V00050,128 GB
V00051,Trắng
V00052,Xám
V00053,Đen
V00054,Xanh biển
V00055,Xanh Đen
V00056,Xanh lá
V00057,256 GB
V00058,Vàng
V00059,Cam
V00060,Đen
V00061,128 GB
V00062,Xám
V00063,Xanh Dương Đậm
V00064,Xanh Dương Nhạt
V00065,Tím
V00066,Đen
V00067,Xanh
V00068,128 GB
V00069,Vàng
V00070,Đen
V00071,Xanh dương
V00072,128 GB
V00073,256 GB
V00074,Xanh
V00075,Đen
V00076,Trắng
V00077,64 GB
V00078,Vàng
V00079,Đen
V00080,Xanh
V00081,256 GB
V00082,Trắng
V00083,Xanh dương
V00084,128 GB
V00085,Đen
V00086,Xanh lá
V00087,Tím
V00088,Trắng
V00089,128 GB
V00090,Đen
V00091,128 GB
V00092,Xanh Nhạt
V00093,Xám
V00094,Đen
V00095,128 GB
V00096,Tím
V00097,Đen
V00098,Xanh
V00099,64 GB
V00100,128 GB
V00101,Nâu
V00102,Tím
V00103,256 GB
V00104,Trắng
V00105,Xanh
V00106,256 GB
V00107,Xanh dương
V00108,Xanh lá
V00109,256 GB
V00110,512 GB
V00111,Đen
V00112,Bạc
V00113,128 GB
V00114,Tím
V00115,Trắng
V00116,256 GB
V00117,Xanh
V00118,Tím
V00119,128 GB
V00120,Đen
V00121,Xanh
V00122,Hồng
V00123,128 GB
V00124,256 GB
V00125,Xanh dương
V00126,Xám Titan
V00127,Hồng
V00128,128 GB
V00129,Đen
V00130,Xanh lá
V00131,Cam
V00132,Xanh lam
V00133,256 GB
V00134,Xanh Nhạt
V00135,Xanh dương
V00136,Hồng
V00137,128 GB
V00138,256 GB
V00139,512 GB
V00140,Trắng
V00141,Đen
V00142,Xanh Mòng Két
V00143,Xanh Lưu Ly
V00144,Hồng
V00145,128 GB
V00146,Xám
V00147,Trắng Cầu Vồng
V00148,128 GB
V00149,256 GB
V00150,512 GB
V00151,Đen
V00152,Hồng
V00153,Trắng
V00154,Xanh Lưu Ly
V00155,Xanh Mòng Két
V00156,256 GB
